Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
669000,1,0,0,0,1,115,78,4078,0,1
449000,1,0,0,0,1,18,66,2823,1,0
1044000,1,0,0,0,2,56,106,4490,0,1
388000,1,0,0,0,1,31,58,2161,0,1
430000,1,0,0,0,1,18,78,3024,1,0
879000,1,0,0,0,1,125,86,4791,1,1
520000,1,0,0,0,1,33,67,2499,0,0
650000,1,0,0,0,1,56,102,3502,1,0
557000,1,0,0,0,1,140,76,3557,1,0
465000,1,0,0,0,1,125,84,2582,0,1
500000,1,0,0,0,1,56,74,4127,0,1
370000,1,0,0,0,1,28,68,2188,0,1
518000,1,0,0,0,1,28,70,3099,0,1
800000,1,0,0,0,1,120,114,4532,1,1
685000,1,0,0,0,2,56,93,3535,1,1
250000,1,0,0,0,2,56,73,2986,1,1
871000,1,0,0,0,1,56,100,5231,1,1
533000,1,0,0,0,1,115,84,2845,0,0
490000,1,0,0,0,1,115,67,2763,1,0
640000,1,0,0,0,2,28,83,3970,0,1
495000,1,0,0,0,1,120,87,2824,0,1
335000,1,0,0,0,1,13,42,1847,1,0
485000,1,0,0,0,2,13,64,3116,1,0
600000,1,0,0,0,1,28,89,3751,0,1
265000,1,0,0,0,1,46,26,1685,1,0
628000,1,0,0,0,1,26,97,3390,1,1
660000,1,0,0,0,1,28,84,3652,0,1
415000,1,0,0,0,1,28,62,2861,1,1
567000,1,0,0,0,1,26,97,3485,1,1
665000,1,0,0,0,1,27,88,3426,1,1
384000,1,0,0,0,1,56,65,2615,0,1
855000,1,0,0,0,1,115,146,4505,0,1
567820,1,0,0,0,1,115,77,3355,1,1
700000,1,0,0,0,1,115,125,4735,0,0
670000,1,0,0,0,1,56,145,4419,0,0
770000,1,0,0,0,1,125,86,4104,1,0
730000,1,0,0,0,1,115,97,4424,1,0
1270000,1,0,0,0,2,115,151,6699,0,1
660000,1,0,0,0,1,90,87,4446,1,1
875000,1,0,0,0,2,115,169,4891,0,0
450000,1,0,0,0,1,115,82,3177,0,0
445000,1,0,0,0,1,28,83,2484,0,0
710000,1,0,0,0,1,115,81,3739,0,0
845000,1,0,0,0,1,115,103,4803,1,1
689000,1,0,0,0,1,90,84,4107,0,0
585000,1,0,0,0,1,56,148,4539,0,0
558000,1,0,0,0,1,31,80,4018,0,0
360000,1,0,0,0,1,56,66,2475,0,1
640000,1,0,0,0,1,27,82,3024,0,0
820000,1,0,0,0,1,56,102,3637,1,1
483000,1,0,0,0,1,31,77,2631,0,0
831000,1,0,0,0,1,27,107,4704,0,0
515000,1,0,0,0,1,20,77,3060,1,0
517000,1,0,0,0,1,31,80,3116,0,0
503000,1,0,0,0,1,27,66,2687,0,0
542000,1,0,0,0,1,31,80,3010,0,0
500000,1,0,0,0,1,31,77,2835,0,0
789000,1,0,0,0,2,21,142,5719,1,0
590000,1,0,0,0,1,27,81,3190,0,0
440000,1,0,0,0,1,31,77,2835,0,0
726000,1,0,0,0,1,31,80,3441,0,0
1040000,1,0,0,0,1,56,159,4974,1,1
699000,1,0,0,0,1,30,104,3240,0,0
419200,1,0,0,0,1,20,75,2415,1,0
500000,1,0,0,0,1,31,82,3240,0,0
530000,1,0,0,0,1,31,79,3036,0,0
700000,1,0,0,0,1,115,92,4306,1,1
670000,1,0,0,0,1,56,92,4124,0,1
267088,1,0,0,0,1,22,81,3234,0,1
625000,1,0,0,0,1,56,91,3507,0,1
420000,1,0,0,0,1,56,62,2649,1,0
415000,1,0,0,0,1,56,58,2649,1,0
420000,1,0,0,0,1,21,61,2467,1,0
735000,1,0,0,0,3,31,100,5903,0,0
